Xkr4	1	3438699
Rp1	1	4204399
Sox17	1	4494142
Mrpl15	1	4779472
Lypla1	1	4828099
Gm37988	1	4847331
Tcea1	1	4877861
Rgs20	1	4989930
Atp6v1h	1	5116273
Oprk1	1	5597298
Npbwr1	1	5915552
Rb1cc1	1	6241422
Alkal1	1	6376974
St18	1	6674085
Pcmtd1	1	7131274
Sntg1	1	8830676
Rrs1	1	9546431
Adhfe1	1	9564310
Vxn	1	9614171
Mybl1	1	9683812
Vcpip1	1	9733502
Sgk3	1	9849476
Mcmdc2	1	9925361
Tcf24	1	9964047
Ppp1r42	1	9988880
Cops5	1	10031384
Cspp1	1	10087377
Arfgef1	1	10185120
Cpa6	1	10522332
Prex2	1	11148573
A830018L16Rik	1	11695003
Sulf1	1	12776734
Slco5a1	1	12929599
Prdm14	1	13120310
Ncoa2	1	13256594
Tram1	1	13577304
Lactb2	1	13641938
Xkr9	1	13685247
Eya1	1	14239594
Msc	1	14754669
Trpa1	1	14895755
Kcnb2	1	15505502
Terf1	1	15824849
Sbspon	1	15873292
4930444P10Rik	1	16079652
Rpl7	1	16102978
Rdh10	1	16119754
Stau2	1	16374393
Ube2w	1	16580139
Eloc	1	16649383
Tmem70	1	16671741
Ly96	1	16698831
Jph1	1	17031224
Gdap1	1	17154816
Pi15	1	17616420
Crispld1	1	17746694
Crisp4	1	18130546
Defb18	1	18236958
Defb41	1	18258059
Tfap2d	1	19134684
Tfap2b	1	19223745
Pkhd1	1	20337921
Il17a	1	20732700
Il17f	1	20783881
Mcm3	1	20811640
Paqr8	1	20915128
Efhc1	1	20971233
Tram2	1	21037764
Tmem14a	1	21224371
Gsta3	1	21253125
Khdc1a	1	21350920
Khdc1c	1	21369588
Khdc1b	1	21384964
Kcnq5	1	21680172
Rims1	1	22546122
Ppp1r14bl	1	23101363
Ogfrl1	1	23382098
B3gat2	1	23805455
Smap1	1	23883581
Sdhaf4	1	24000797
Fam135a	1	24055717
Col9a1	1	24215147
Col19a1	1	24424681
Lmbrd1	1	24722465
Adgrb3	1	25448591
4931408C20Rik	1	26684637
Gm597	1	28778184
Phf3	1	30838130
Ptp4a1	1	30944805
Ptp4a1	1	30945036
Gm5698	1	30977605
4931428L18Rik	1	31110263
Lgsn	1	31190563
Pih1d3	1	31223563
Khdrbs2	1	32415641
Gm5415	1	32545490
Prim2	1	33561802
Rab23	1	33731225
Bag2	1	33751639
Zfp451	1	33788070
Bend6	1	33879934
Dst	1	34108443
Ccdc115	1	34438171
Imp4	1	34444603
Ptpn18	1	34467747
Prss39	1	34500736
Cfc1	1	34539980
Prss40	1	34552455
Amer3	1	34585300
Arhgef4	1	34745748
Arhgef4	1	34801879
Fam168b	1	34828142
Plekhb2	1	34864778
Hs6st1	1	36087423
Uggt1	1	36192373
Neurl3	1	36269638
Arid5a	1	36315881
Kansl3	1	36352455
Fer1l5	1	36397200
Lman2l	1	36432571
Cnnm4	1	36490192
Cnnm3	1	36520052
Ankrd23	1	36533535
Gm42417	1	36534811
Ankrd39	1	36542476
Sema4c	1	36553494
Fam178b	1	36622937
Cox5b	1	36692565
Actr1b	1	36706268
4933424G06Rik	1	36734051
Zap70	1	36772308
Tmem131	1	36867928
Vwa3b	1	37107104
Cnga3	1	37238909
Inpp4a	1	37355300
Coa5	1	37423593
Unc50	1	37434631
Mgat4a	1	37490178
2010300C02Rik	1	37665881
Tsga10	1	37810602
Lipt1	1	37873983
Mitd1	1	37882606
Mrpl30	1	37894506
Lyg2	1	37911208
Lyg1	1	37952247
Txndc9	1	37991541
Eif5b	1	38026794
Rev1	1	38091293
Aff3	1	38421140
Lonrf2	1	38815178
Chst10	1	38881014
Nms	1	38944712
Pdcl3	1	38991423
Npas2	1	39278483
Rpl31	1	39369876
Tbc1d8	1	39425123
Cnot11	1	39540940
Rnf149	1	39564350
